#YY  MM DD hh mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr  mo dy hr mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2019 03 30 00 12,MM,MM,MM,MM,MM,MM,MM,1014.9,22.7,25.1,MM,MM,MM,MM
2019 03 30 00 18,MM,MM,MM,MM,MM,MM,MM,1014.8,22.7,25.1,MM,MM,MM,MM
2019 03 30 00 24,MM,MM,MM,MM,MM,MM,MM,1014.8,22.7,25.1,MM,MM,MM,MM
2019 03 30 00 30,MM,MM,MM,MM,MM,MM,MM,1014.7,22.8,25.1,MM,MM,MM,MM
2019 03 30 00 36,MM,MM,MM,MM,MM,MM,MM,1014.6,22.7,25.1,MM,MM,MM,MM
2019 03 30 00 42,350,3.1,3.6,MM,MM,MM,MM,1014.5,22.8,25.1,MM,MM,MM,MM
2019 03 30 00 48,330,2.6,3.6,MM,MM,MM,MM,1014.5,22.6,25.1,MM,MM,MM,MM
2019 03 30 00 54,350,2.6,3.1,MM,MM,MM,MM,1014.5,22.8,25.1,MM,MM,MM,MM
2019 03 30 01 00,340,2.6,3.6,MM,MM,MM,MM,1014.5,22.7,25.1,MM,MM,-2.1,MM
2019 03 30 01 06,330,3.1,4.1,MM,MM,MM,MM,1014.5,22.8,25.1,MM,MM,MM,MM
2019 03 30 01 12,340,3.1,4.1,MM,MM,MM,MM,1014.5,22.6,25.1,MM,MM,MM,MM
2019 03 30 01 18,340,3.1,4.6,MM,MM,MM,MM,1014.4,22.7,25.2,MM,MM,MM,MM
2019 03 30 01 24,340,3.6,4.6,MM,MM,MM,MM,1014.4,22.7,25.2,MM,MM,MM,MM
2019 03 30 01 30,350,3.6,4.1,MM,MM,MM,MM,1014.4,22.5,25.2,MM,MM,MM,MM
2019 03 30 01 36,330,4.6,5.1,MM,MM,MM,MM,1014.4,22.7,25.2,MM,MM,MM,MM
2019 03 30 01 42,350,3.6,4.6,MM,MM,MM,MM,1014.4,22.6,25.2,MM,MM,MM,MM
2019 03 30 01 48,320,3.6,4.6,MM,MM,MM,MM,1014.3,22.7,25.2,MM,MM,MM,MM
2019 03 30 01 54,330,4.6,5.7,MM,MM,MM,MM,1014.3,22.7,25.2,MM,MM,MM,MM
2019 03 30 02 00,320,4.1,5.1,MM,MM,MM,MM,1014.4,22.6,25.2,MM,MM,-1.4,MM
2019 03 30 02 06,330,3.6,4.6,MM,MM,MM,MM,1014.4,22.9,25.2,MM,MM,MM,MM
2019 03 30 02 12,340,3.1,5.1,MM,MM,MM,MM,1014.4,22.5,25.2,MM,MM,MM,MM
2019 03 30 02 18,330,2.6,4.1,MM,MM,MM,MM,1014.5,22.5,25.2,MM,MM,MM,MM
2019 03 30 02 24,340,2.1,3.1,MM,MM,MM,MM,1014.5,22.7,25.2,MM,MM,MM,MM
2019 03 30 02 30,360,2.6,3.1,MM,MM,MM,MM,1014.4,22.5,25.3,MM,MM,MM,MM
2019 03 30 02 36,10,2.1,3.1,MM,MM,MM,MM,1014.4,22.5,25.3,MM,MM,MM,MM
2019 03 30 02 42,MM,MM,MM,MM,MM,MM,MM,1014.5,22.6,25.3,MM,MM,MM,MM
2019 03 30 02 48,MM,MM,MM,MM,MM,MM,MM,1014.5,22.6,25.3,MM,MM,MM,MM
2019 03 30 02 54,MM,MM,MM,MM,MM,MM,MM,1014.6,22.5,25.3,MM,MM,MM,MM
2019 03 30 03 00,MM,MM,MM,MM,MM,MM,MM,1014.6,22.6,25.3,MM,MM,-0.4,MM
2019 03 30 03 06,MM,MM,MM,MM,MM,MM,MM,1014.6,22.8,25.3,MM,MM,MM,MM
2019 03 30 03 12,MM,MM,MM,MM,MM,MM,MM,1014.6,22.5,25.3,MM,MM,MM,MM
2019 03 30 03 18,MM,MM,MM,MM,MM,MM,MM,1014.7,22.5,25.3,MM,MM,MM,MM
2019 03 30 03 24,MM,MM,MM,MM,MM,MM,MM,1014.8,22.5,25.3,MM,MM,MM,MM
2019 03 30 03 30,MM,MM,MM,MM,MM,MM,MM,1014.7,22.3,25.3,MM,MM,MM,MM
2019 03 30 03 36,MM,MM,MM,MM,MM,MM,MM,1014.8,22.5,25.3,MM,MM,MM,MM
2019 03 30 03 42,350,3.6,4.6,MM,MM,MM,MM,1014.8,22.4,25.3,MM,MM,MM,MM
2019 03 30 03 48,350,3.1,5.1,MM,MM,MM,MM,1014.9,22.4,25.3,MM,MM,MM,MM
2019 03 30 03 54,340,3.6,4.6,MM,MM,MM,MM,1014.9,22.5,25.3,MM,MM,MM,MM
2019 03 30 04 00,350,4.6,5.1,MM,MM,MM,MM,1015,22.2,25.3,MM,MM,0.5,MM
2019 03 30 04 06,350,2.6,4.6,MM,MM,MM,MM,1015.1,22.2,25.3,MM,MM,MM,MM
2019 03 30 04 12,340,3.6,4.6,MM,MM,MM,MM,1015.1,22.5,25.3,MM,MM,MM,MM
2019 03 30 04 18,360,3.1,5.1,MM,MM,MM,MM,1015.2,22.4,25.3,MM,MM,MM,MM
2019 03 30 04 24,350,2.6,4.6,MM,MM,MM,MM,1015.3,22.3,25.3,MM,MM,MM,MM
2019 03 30 04 30,330,3.6,5.1,MM,MM,MM,MM,1015.4,22.3,25.3,MM,MM,MM,MM
2019 03 30 04 36,350,2.6,4.6,MM,MM,MM,MM,1015.5,22.2,25.3,MM,MM,MM,MM
2019 03 30 04 42,10,2.1,3.1,MM,MM,MM,MM,1015.5,22.2,25.3,MM,MM,MM,MM
2019 03 30 04 48,340,2.1,4.6,MM,MM,MM,MM,1015.5,22,25.3,MM,MM,MM,MM
2019 03 30 04 54,350,3.6,4.1,MM,MM,MM,MM,1015.6,22.1,25.3,MM,MM,MM,MM
2019 03 30 05 00,340,2.6,4.1,MM,MM,MM,MM,1015.6,22.1,25.3,MM,MM,1.2,MM
2019 03 30 05 06,340,2.6,3.6,MM,MM,MM,MM,1015.7,22.1,25.3,MM,MM,MM,MM
2019 03 30 05 12,320,2.6,3.6,MM,MM,MM,MM,1015.8,22.1,25.3,MM,MM,MM,MM
2019 03 30 05 18,310,1.5,3.1,MM,MM,MM,MM,1015.9,21.7,25.3,MM,MM,MM,MM
2019 03 30 05 24,20,1.5,2.6,MM,MM,MM,MM,1015.9,21.8,25.3,MM,MM,MM,MM
2019 03 30 05 30,40,2.1,3.1,MM,MM,MM,MM,1016,21.6,25.3,MM,MM,MM,MM
2019 03 30 05 36,60,0.5,2.1,MM,MM,MM,MM,1016,21.6,25.3,MM,MM,MM,MM
2019 03 30 05 42,360,1.5,2.1,MM,MM,MM,MM,1016.1,21.9,25.3,MM,MM,MM,MM
2019 03 30 05 48,350,3.1,4.6,MM,MM,MM,MM,1016.1,22,25.3,MM,MM,MM,MM
2019 03 30 05 54,350,2.1,2.6,MM,MM,MM,MM,1016.2,22,25.3,MM,MM,MM,MM
2019 03 30 06 00,10,2.1,3.6,MM,MM,MM,MM,1016.2,22.2,25.3,MM,MM,1.6,MM
2019 03 30 06 06,10,2.6,3.6,MM,MM,MM,MM,1016.3,22.3,25.3,MM,MM,MM,MM
2019 03 30 06 12,340,3.1,5.1,MM,MM,MM,MM,1016.4,22.3,25.2,MM,MM,MM,MM
2019 03 30 06 18,320,2.6,3.6,MM,MM,MM,MM,1016.6,22.1,25.2,MM,MM,MM,MM
2019 03 30 06 24,310,3.1,5.1,MM,MM,MM,MM,1016.7,22.3,25.2,MM,MM,MM,MM
2019 03 30 06 30,310,3.6,4.6,MM,MM,MM,MM,1016.8,22.1,25.2,MM,MM,MM,MM
2019 03 30 06 36,320,1,4.1,MM,MM,MM,MM,1016.7,21.9,25.2,MM,MM,MM,MM
2019 03 30 06 42,310,1,2.6,MM,MM,MM,MM,1016.7,21.9,25.2,MM,MM,MM,MM
2019 03 30 06 48,340,2.6,3.6,MM,MM,MM,MM,1016.7,21.9,25.2,MM,MM,MM,MM
2019 03 30 06 54,350,2.1,3.6,MM,MM,MM,MM,1016.7,21.8,25.2,MM,MM,MM,MM
2019 03 30 07 00,340,2.6,4.1,MM,MM,MM,MM,1016.8,21.9,25.2,MM,MM,1.8,MM
2019 03 30 07 06,360,2.1,3.1,MM,MM,MM,MM,1016.9,21.9,25.2,MM,MM,MM,MM
2019 03 30 07 12,330,3.1,3.6,MM,MM,MM,MM,1017,22,25.2,MM,MM,MM,MM
2019 03 30 07 18,360,3.1,4.1,MM,MM,MM,MM,1017,21.9,25.2,MM,MM,MM,MM
2019 03 30 07 24,350,3.1,3.6,MM,MM,MM,MM,1017,22.1,25.2,MM,MM,MM,MM
2019 03 30 07 30,350,3.6,4.1,MM,MM,MM,MM,1017.1,22.2,25.2,MM,MM,MM,MM
2019 03 30 07 36,340,4.1,5.1,MM,MM,MM,MM,1017.2,22.2,25.2,MM,MM,MM,MM
2019 03 30 07 42,MM,MM,MM,MM,MM,MM,MM,1017.2,22.2,25.2,MM,MM,MM,MM
2019 03 30 07 48,MM,MM,MM,MM,MM,MM,MM,1017.3,22.2,25.2,MM,MM,MM,MM
2019 03 30 07 54,MM,MM,MM,MM,MM,MM,MM,1017.2,22.2,25.2,MM,MM,MM,MM
2019 03 30 08 00,MM,MM,MM,MM,MM,MM,MM,1017.2,22.1,25.1,MM,MM,1.6,MM
2019 03 30 08 06,MM,MM,MM,MM,MM,MM,MM,1017.3,22.2,25.1,MM,MM,MM,MM
2019 03 30 08 12,MM,MM,MM,MM,MM,MM,MM,1017.4,22,25.1,MM,MM,MM,MM
2019 03 30 08 18,MM,MM,MM,MM,MM,MM,MM,1017.4,22.1,25.1,MM,MM,MM,MM
2019 03 30 08 24,MM,MM,MM,MM,MM,MM,MM,1017.4,22,25.1,MM,MM,MM,MM
2019 03 30 08 30,MM,MM,MM,MM,MM,MM,MM,1017.3,22.1,25.1,MM,MM,MM,MM
2019 03 30 08 36,MM,MM,MM,MM,MM,MM,MM,1017.4,22,25.1,MM,MM,MM,MM
2019 03 30 08 42,340,3.6,5.1,MM,MM,MM,MM,1017.2,21.9,25.1,MM,MM,MM,MM
2019 03 30 08 48,330,4.1,4.6,MM,MM,MM,MM,1017.2,21.9,25.1,MM,MM,MM,MM
2019 03 30 08 54,340,3.1,4.1,MM,MM,MM,MM,1017.2,22,25.1,MM,MM,MM,MM
2019 03 30 09 00,290,2.1,4.6,MM,MM,MM,MM,1017.1,21.6,25.1,MM,MM,0.9,MM
2019 03 30 09 06,280,2.1,2.6,MM,MM,MM,MM,1017,21.5,25.1,MM,MM,MM,MM
2019 03 30 09 12,270,1,2.6,MM,MM,MM,MM,1016.9,21.5,25.1,MM,MM,MM,MM
2019 03 30 09 18,300,2.6,3.1,MM,MM,MM,MM,1016.8,21.5,25.1,MM,MM,MM,MM
2019 03 30 09 24,280,1.5,3.1,MM,MM,MM,MM,1016.8,21.5,25.1,MM,MM,MM,MM
2019 03 30 09 30,270,1.5,2.6,MM,MM,MM,MM,1016.8,21.4,25.1,MM,MM,MM,MM
2019 03 30 09 36,280,1.5,3.1,MM,MM,MM,MM,1016.7,21.4,25.1,MM,MM,MM,MM
2019 03 30 09 42,MM,MM,MM,MM,MM,MM,MM,1016.7,21.4,25.1,MM,MM,MM,MM
2019 03 30 09 48,MM,MM,MM,MM,MM,MM,MM,1016.7,21.4,25.1,MM,MM,MM,MM
2019 03 30 09 54,MM,MM,MM,MM,MM,MM,MM,1016.6,21.4,25.1,MM,MM,MM,MM
2019 03 30 10 00,MM,MM,MM,MM,MM,MM,MM,1016.6,21.4,25.1,MM,MM,0,MM
2019 03 30 10 06,MM,MM,MM,MM,MM,MM,MM,1016.5,21.6,25.1,MM,MM,MM,MM
2019 03 30 10 12,MM,MM,MM,MM,MM,MM,MM,1016.4,21.5,25.1,MM,MM,MM,MM
2019 03 30 10 18,MM,MM,MM,MM,MM,MM,MM,1016.4,21.6,25,MM,MM,MM,MM
2019 03 30 10 24,MM,MM,MM,MM,MM,MM,MM,1016.4,21.5,25,MM,MM,MM,MM
2019 03 30 10 30,MM,MM,MM,MM,MM,MM,MM,1016.2,21.6,25,MM,MM,MM,MM
2019 03 30 10 36,MM,MM,MM,MM,MM,MM,MM,1016.1,21.5,25,MM,MM,MM,MM
2019 03 30 10 42,280,1,3.1,MM,MM,MM,MM,1016.2,21.7,25,MM,MM,MM,MM
2019 03 30 10 48,290,1,2.1,MM,MM,MM,MM,1016.1,21.6,25,MM,MM,MM,MM
2019 03 30 10 54,280,1,2.6,MM,MM,MM,MM,1016,21.6,25,MM,MM,MM,MM
2019 03 30 11 00,280,1,2.6,MM,MM,MM,MM,1016,21.5,25,MM,MM,-1.2,MM
2019 03 30 11 06,270,1,3.1,MM,MM,MM,MM,1016,21.5,25,MM,MM,MM,MM
2019 03 30 11 12,280,1,3.1,MM,MM,MM,MM,1015.9,21.6,25,MM,MM,MM,MM
2019 03 30 11 18,280,1.5,3.1,MM,MM,MM,MM,1015.9,21.6,25,MM,MM,MM,MM
2019 03 30 11 24,290,2.1,2.6,MM,MM,MM,MM,1015.8,21.5,25,MM,MM,MM,MM
2019 03 30 11 30,300,2.1,3.1,MM,MM,MM,MM,1015.7,21.6,25,MM,MM,MM,MM
2019 03 30 11 36,300,2.6,3.6,MM,MM,MM,MM,1015.7,21.6,25,MM,MM,MM,MM
2019 03 30 11 42,290,2.1,3.6,MM,MM,MM,MM,1015.5,21.6,25,MM,MM,MM,MM
2019 03 30 11 48,290,1.5,3.1,MM,MM,MM,MM,1015.4,21.6,25,MM,MM,MM,MM
2019 03 30 11 54,310,2.6,3.6,MM,MM,MM,MM,1015.3,21.7,25,MM,MM,MM,MM
2019 03 30 12 00,310,2.6,3.1,MM,MM,MM,MM,1015.2,21.7,25,MM,MM,-1.9,MM
2019 03 30 12 06,300,2.1,3.1,MM,MM,MM,MM,1015.1,21.7,25,MM,MM,MM,MM
2019 03 30 12 12,280,2.1,3.1,MM,MM,MM,MM,1015,21.5,25,MM,MM,MM,MM
2019 03 30 12 18,290,1.5,2.6,MM,MM,MM,MM,1015,21.6,25,MM,MM,MM,MM
2019 03 30 12 24,280,1,2.6,MM,MM,MM,MM,1015,21.7,25,MM,MM,MM,MM
2019 03 30 12 30,280,2.1,3.6,MM,MM,MM,MM,1014.8,21.5,25,MM,MM,MM,MM
2019 03 30 12 36,300,2.6,3.6,MM,MM,MM,MM,1014.8,21.6,25,MM,MM,MM,MM
2019 03 30 12 42,MM,MM,MM,MM,MM,MM,MM,1014.8,21.5,25,MM,MM,MM,MM
2019 03 30 12 48,MM,MM,MM,MM,MM,MM,MM,1014.8,21.6,25,MM,MM,MM,MM
2019 03 30 12 54,MM,MM,MM,MM,MM,MM,MM,1014.8,21.6,25,MM,MM,MM,MM
2019 03 30 13 00,MM,MM,MM,MM,MM,MM,MM,1014.7,21.6,25,MM,MM,-1.9,MM
2019 03 30 13 06,MM,MM,MM,MM,MM,MM,MM,1014.7,21.5,25,MM,MM,MM,MM
2019 03 30 13 12,MM,MM,MM,MM,MM,MM,MM,1014.7,21.4,25,MM,MM,MM,MM
2019 03 30 13 18,MM,MM,MM,MM,MM,MM,MM,1014.7,21.5,25,MM,MM,MM,MM
2019 03 30 13 24,MM,MM,MM,MM,MM,MM,MM,1014.7,21.3,25,MM,MM,MM,MM
2019 03 30 13 30,MM,MM,MM,MM,MM,MM,MM,1014.7,21.2,25,MM,MM,MM,MM
2019 03 30 13 36,MM,MM,MM,MM,MM,MM,MM,1014.6,21.2,25,MM,MM,MM,MM
2019 03 30 13 42,MM,MM,MM,MM,MM,MM,MM,1014.5,21.3,25,MM,MM,MM,MM
2019 03 30 13 48,MM,MM,MM,MM,MM,MM,MM,1014.5,21.1,25,MM,MM,MM,MM
2019 03 30 13 54,MM,MM,MM,MM,MM,MM,MM,1014.5,21.2,25,MM,MM,MM,MM
2019 03 30 14 00,MM,MM,MM,MM,MM,MM,MM,1014.5,21.2,25,MM,MM,-1.5,MM
2019 03 30 14 06,MM,MM,MM,MM,MM,MM,MM,1014.4,21.2,25,MM,MM,MM,MM
2019 03 30 14 12,MM,MM,MM,MM,MM,MM,MM,1014.3,21,25,MM,MM,MM,MM
2019 03 30 14 18,MM,MM,MM,MM,MM,MM,MM,1014.3,21.1,25,MM,MM,MM,MM
2019 03 30 14 24,MM,MM,MM,MM,MM,MM,MM,1014.3,21,25,MM,MM,MM,MM
2019 03 30 14 30,MM,MM,MM,MM,MM,MM,MM,1014.2,20.9,25,MM,MM,MM,MM
2019 03 30 14 36,MM,MM,MM,MM,MM,MM,MM,1014.2,20.8,24.9,MM,MM,MM,MM
2019 03 30 14 42,190,1.5,2.1,MM,MM,MM,MM,1014.1,20.7,24.9,MM,MM,MM,MM
2019 03 30 14 48,190,1,2.1,MM,MM,MM,MM,1014.1,20.5,24.9,MM,MM,MM,MM
2019 03 30 14 54,190,1.5,2.1,MM,MM,MM,MM,1014.1,20.5,24.9,MM,MM,MM,MM
2019 03 30 15 00,190,1.5,2.6,MM,MM,MM,MM,1014.1,20.4,24.9,MM,MM,-1.1,MM
2019 03 30 15 06,190,1.5,2.1,MM,MM,MM,MM,1014.2,20.3,24.9,MM,MM,MM,MM
2019 03 30 15 12,180,1,2.1,MM,MM,MM,MM,1014.3,20.3,24.9,MM,MM,MM,MM
2019 03 30 15 18,190,1.5,2.1,MM,MM,MM,MM,1014.3,20.2,24.9,MM,MM,MM,MM
2019 03 30 15 24,200,1,1.5,MM,MM,MM,MM,1014.4,20.3,24.9,MM,MM,MM,MM
2019 03 30 15 30,230,1,1.5,MM,MM,MM,MM,1014.4,20.2,24.9,MM,MM,MM,MM
2019 03 30 15 36,190,1.5,2.1,MM,MM,MM,MM,1014.4,20.1,24.9,MM,MM,MM,MM
2019 03 30 15 42,210,0.5,1.5,MM,MM,MM,MM,1014.5,20.1,24.9,MM,MM,MM,MM
2019 03 30 15 48,230,0.5,1,MM,MM,MM,MM,1014.5,20.1,24.9,MM,MM,MM,MM
2019 03 30 15 54,MM,0,1,MM,MM,MM,MM,1014.5,20.1,24.9,MM,MM,MM,MM
2019 03 30 16 00,230,0.5,1,MM,MM,MM,MM,1014.5,19.9,24.9,MM,MM,0,MM
2019 03 30 16 06,250,1,1.5,MM,MM,MM,MM,1014.6,19.8,24.9,MM,MM,MM,MM
2019 03 30 16 12,210,1,1.5,MM,MM,MM,MM,1014.7,19.9,24.9,MM,MM,MM,MM
2019 03 30 16 18,MM,0,1.5,MM,MM,MM,MM,1014.8,19.8,24.9,MM,MM,MM,MM
2019 03 30 16 24,240,0.5,1,MM,MM,MM,MM,1014.8,19.9,24.9,MM,MM,MM,MM
2019 03 30 16 30,MM,0,0.5,MM,MM,MM,MM,1014.9,19.9,24.9,MM,MM,MM,MM
2019 03 30 16 36,MM,0,1,MM,MM,MM,MM,1014.9,19.9,24.9,MM,MM,MM,MM
2019 03 30 16 42,190,1,1,MM,MM,MM,MM,1014.9,19.8,24.9,MM,MM,MM,MM
2019 03 30 16 48,210,1,1.5,MM,MM,MM,MM,1014.9,19.7,24.9,MM,MM,MM,MM
2019 03 30 16 54,190,1,1,MM,MM,MM,MM,1015,19.6,24.9,MM,MM,MM,MM
2019 03 30 17 00,200,1,1,MM,MM,MM,MM,1015,19.6,24.9,MM,MM,0.5,MM
2019 03 30 17 06,MM,0,0.5,MM,MM,MM,MM,1015.2,19.7,24.9,MM,MM,MM,MM
2019 03 30 17 12,250,0.5,1,MM,MM,MM,MM,1015.3,19.9,24.9,MM,MM,MM,MM
2019 03 30 17 18,MM,0,1,MM,MM,MM,MM,1015.4,20.1,24.9,MM,MM,MM,MM
2019 03 30 17 24,MM,0,1,MM,MM,MM,MM,1015.6,20.4,24.9,MM,MM,MM,MM
2019 03 30 17 30,250,0.5,1,MM,MM,MM,MM,1015.6,20.7,24.9,MM,MM,MM,MM
2019 03 30 17 36,280,0.5,1,MM,MM,MM,MM,1015.7,21,24.9,MM,MM,MM,MM
2019 03 30 17 42,MM,0,1,MM,MM,MM,MM,1015.8,21.3,24.9,MM,MM,MM,MM
2019 03 30 17 48,300,0.5,1,MM,MM,MM,MM,1015.9,21.3,24.8,MM,MM,MM,MM
2019 03 30 17 54,310,1,1.5,MM,MM,MM,MM,1016,21.5,24.8,MM,MM,MM,MM
2019 03 30 18 00,MM,0,1,MM,MM,MM,MM,1016.1,21.7,24.8,MM,MM,2,MM
2019 03 30 18 06,MM,0,0.5,MM,MM,MM,MM,1016.2,21.6,24.8,MM,MM,MM,MM
2019 03 30 18 12,310,0.5,1,MM,MM,MM,MM,1016.3,22,24.8,MM,MM,MM,MM
2019 03 30 18 18,MM,0,1,MM,MM,MM,MM,1016.3,22.3,24.8,MM,MM,MM,MM
2019 03 30 18 24,MM,0,1.5,MM,MM,MM,MM,1016.2,22.3,24.8,MM,MM,MM,MM
2019 03 30 18 30,320,0.5,1,MM,MM,MM,MM,1016.2,22.5,24.8,MM,MM,MM,MM
2019 03 30 18 36,310,0.5,1,MM,MM,MM,MM,1016.3,22.3,24.8,MM,MM,MM,MM
2019 03 30 18 42,MM,MM,MM,MM,MM,MM,MM,1016.3,22.4,24.8,MM,MM,MM,MM
2019 03 30 18 48,MM,MM,MM,MM,MM,MM,MM,1016.4,22.6,24.7,MM,MM,MM,MM
2019 03 30 18 54,MM,MM,MM,MM,MM,MM,MM,1016.4,22.4,24.7,MM,MM,MM,MM
2019 03 30 19 00,MM,MM,MM,MM,MM,MM,MM,1016.4,22.4,24.7,MM,MM,1.9,MM
2019 03 30 19 06,MM,MM,MM,MM,MM,MM,MM,1016.4,22.9,24.7,MM,MM,MM,MM
2019 03 30 19 12,MM,MM,MM,MM,MM,MM,MM,1016.4,22.6,24.7,MM,MM,MM,MM
2019 03 30 19 18,MM,MM,MM,MM,MM,MM,MM,1016.4,22.8,24.7,MM,MM,MM,MM
2019 03 30 19 24,MM,MM,MM,MM,MM,MM,MM,1016.4,23,24.7,MM,MM,MM,MM
2019 03 30 19 30,MM,MM,MM,MM,MM,MM,MM,1016.4,23,24.7,MM,MM,MM,MM
2019 03 30 19 36,MM,MM,MM,MM,MM,MM,MM,1016.3,23.1,24.7,MM,MM,MM,MM
2019 03 30 19 42,MM,MM,MM,MM,MM,MM,MM,1016.3,22.8,24.7,MM,MM,MM,MM
2019 03 30 19 48,MM,MM,MM,MM,MM,MM,MM,1016.3,23,24.7,MM,MM,MM,MM
2019 03 30 19 54,MM,MM,MM,MM,MM,MM,MM,1016.3,23,24.7,MM,MM,MM,MM
2019 03 30 20 00,MM,MM,MM,MM,MM,MM,MM,1016.3,22.8,24.7,MM,MM,1.3,MM
2019 03 30 20 06,MM,MM,MM,MM,MM,MM,MM,1016.3,22.6,24.7,MM,MM,MM,MM
2019 03 30 20 12,MM,MM,MM,MM,MM,MM,MM,1016.3,22.6,24.7,MM,MM,MM,MM
2019 03 30 20 18,MM,MM,MM,MM,MM,MM,MM,1016.3,22.6,24.7,MM,MM,MM,MM
2019 03 30 20 24,MM,MM,MM,MM,MM,MM,MM,1016.2,22.5,24.7,MM,MM,MM,MM
2019 03 30 20 30,MM,MM,MM,MM,MM,MM,MM,1016.3,22.7,24.7,MM,MM,MM,MM
2019 03 30 20 36,MM,MM,MM,MM,MM,MM,MM,1016.2,22.6,24.7,MM,MM,MM,MM
2019 03 30 20 42,10,2.1,2.6,MM,MM,MM,MM,1016.2,22.6,24.8,MM,MM,MM,MM
2019 03 30 20 48,10,2.1,3.1,MM,MM,MM,MM,1016.2,22.9,24.8,MM,MM,MM,MM
2019 03 30 20 54,350,2.6,3.1,MM,MM,MM,MM,1016.3,22.9,24.8,MM,MM,MM,MM
2019 03 30 21 00,10,2.6,2.6,MM,MM,MM,MM,1016.4,22.9,24.8,MM,MM,0.3,MM
2019 03 30 21 06,10,2.6,3.6,MM,MM,MM,MM,1016.4,22.9,24.8,MM,MM,MM,MM
2019 03 30 21 12,10,2.6,3.6,MM,MM,MM,MM,1016.4,23,24.8,MM,MM,MM,MM
2019 03 30 21 18,20,2.6,3.6,MM,MM,MM,MM,1016.4,22.8,24.8,MM,MM,MM,MM
2019 03 30 21 24,10,2.6,3.1,MM,MM,MM,MM,1016.3,22.8,24.8,MM,MM,MM,MM
2019 03 30 21 30,20,2.6,3.6,MM,MM,MM,MM,1016.3,22.9,24.8,MM,MM,MM,MM
2019 03 30 21 36,350,3.1,3.6,MM,MM,MM,MM,1016.3,23,24.8,MM,MM,MM,MM
2019 03 30 21 42,360,2.6,3.1,MM,MM,MM,MM,1016.2,23,24.8,MM,MM,MM,MM
2019 03 30 21 48,30,2.6,3.6,MM,MM,MM,MM,1016,22.8,24.8,MM,MM,MM,MM
2019 03 30 21 54,20,2.6,3.1,MM,MM,MM,MM,1016,22.7,24.8,MM,MM,MM,MM
2019 03 30 22 00,10,2.6,3.1,MM,MM,MM,MM,1016,22.8,24.9,MM,MM,-0.4,MM
2019 03 30 22 06,360,2.6,3.1,MM,MM,MM,MM,1015.9,23,24.9,MM,MM,MM,MM
2019 03 30 22 12,350,2.6,3.6,MM,MM,MM,MM,1015.8,23.3,24.9,MM,MM,MM,MM
2019 03 30 22 18,360,3.1,3.6,MM,MM,MM,MM,1015.8,23,24.9,MM,MM,MM,MM
2019 03 30 22 24,20,3.1,3.6,MM,MM,MM,MM,1015.8,22.8,24.9,MM,MM,MM,MM
2019 03 30 22 30,20,3.1,4.1,MM,MM,MM,MM,1015.7,22.9,24.9,MM,MM,MM,MM
2019 03 30 22 36,360,3.1,4.1,MM,MM,MM,MM,1015.6,22.9,24.9,MM,MM,MM,MM
2019 03 30 22 42,MM,MM,MM,MM,MM,MM,MM,1015.6,22.9,24.9,MM,MM,MM,MM
2019 03 30 22 48,MM,MM,MM,MM,MM,MM,MM,1015.5,22.8,24.9,MM,MM,MM,MM
2019 03 30 22 54,MM,MM,MM,MM,MM,MM,MM,1015.4,23,24.9,MM,MM,MM,MM
2019 03 30 23 00,MM,MM,MM,MM,MM,MM,MM,1015.3,23,24.9,MM,MM,-1,MM
2019 03 30 23 06,MM,MM,MM,MM,MM,MM,MM,1015.2,23.1,24.9,MM,MM,MM,MM
2019 03 30 23 12,MM,MM,MM,MM,MM,MM,MM,1015.1,23.3,24.9,MM,MM,MM,MM
2019 03 30 23 18,MM,MM,MM,MM,MM,MM,MM,1015,23,24.9,MM,MM,MM,MM
2019 03 30 23 24,MM,MM,MM,MM,MM,MM,MM,1014.9,23.1,24.9,MM,MM,MM,MM
2019 03 30 23 30,MM,MM,MM,MM,MM,MM,MM,1014.8,23,24.9,MM,MM,MM,MM
2019 03 30 23 36,MM,MM,MM,MM,MM,MM,MM,1014.6,23.1,24.9,MM,MM,MM,MM
2019 03 30 23 42,MM,MM,MM,MM,MM,MM,MM,1014.5,23.2,24.9,MM,MM,MM,MM
2019 03 30 23 48,MM,MM,MM,MM,MM,MM,MM,1014.4,23.2,24.9,MM,MM,MM,MM
2019 03 30 23 54,MM,MM,MM,MM,MM,MM,MM,1014.3,23,24.9,MM,MM,MM,MM
2019 03 31 00 00,MM,MM,MM,MM,MM,MM,MM,1014.2,23.2,24.9,MM,MM,-2.2,MM
2019 03 31 00 06,MM,MM,MM,MM,MM,MM,MM,1014.1,23,24.9,MM,MM,MM,MM
2019 03 31 00 12,MM,MM,MM,MM,MM,MM,MM,1014.1,23.1,24.9,MM,MM,MM,MM
2019 03 31 00 18,MM,MM,MM,MM,MM,MM,MM,1014.1,23,24.9,MM,MM,MM,MM
2019 03 31 00 24,MM,MM,MM,MM,MM,MM,MM,1014,23,24.9,MM,MM,MM,MM
2019 03 31 00 30,MM,MM,MM,MM,MM,MM,MM,1013.9,23.2,24.9,MM,MM,MM,MM
2019 03 31 00 36,MM,MM,MM,MM,MM,MM,MM,1013.8,23,24.9,MM,MM,MM,MM
